State,City,Population,Location_ID
Andhra Pradesh,Capital District,1500000,101
Arunachal Pradesh,Capital District,1500000,102
Assam,Capital District,1500000,103
Bihar,Capital District,1500000,104
Chhattisgarh,Capital District,1500000,105
Goa,Capital District,1500000,106
Gujarat,Capital District,1500000,107
Haryana,Capital District,1500000,108
Himachal Pradesh,Capital District,1500000,109
Jammu & Kashmir,Capital District,1500000,110
Jharkhand,Capital District,1500000,111
Karnataka,Capital District,1500000,112
Kerala,Capital District,1500000,113
Madhya Pradesh,Capital District,1500000,114
Maharashtra,Capital District,1500000,115
Manipur,Capital District,1500000,116
Meghalaya,Capital District,1500000,117
Mizoram,Capital District,1500000,118
Nagaland,Capital District,1500000,119
Odisha,Capital District,1500000,120
Punjab,Capital District,1500000,121
Rajasthan,Capital District,1500000,122
Sikkim,Capital District,1500000,123
Tamil Nadu,Capital District,1500000,124
Telangana,Capital District,1500000,125
Tripura,Capital District,1500000,126
Uttar Pradesh,Capital District,1500000,127
Uttarakhand,Capital District,1500000,128
West Bengal,Capital District,1500000,129
A & N Islands,Capital District,1500000,130
Chandigarh,Capital District,1500000,131
D&N Haveli,Capital District,1500000,132
Daman & Diu,Capital District,1500000,133
Delhi,Capital District,1500000,134
Lakshadweep,Capital District,1500000,135
Puducherry,Capital District,1500000,136
Delhi Ut,Capital District,1500000,137
