Year,Month,Day_of_Week,Time_ID
2016,7,Friday,20160701
2016,4,Friday,20160401
2016,11,Saturday,20161101
2016,8,Wednesday,20160801
2016,5,Friday,20160501
2016,7,Saturday,20160701
2016,10,Tuesday,20161001
2016,3,Wednesday,20160301
2016,11,Sunday,20161101
2016,11,Monday,20161101
2016,8,Tuesday,20160801
2016,5,Tuesday,20160501
2016,4,Saturday,20160401
2016,3,Friday,20160301
2016,6,Friday,20160601
2016,5,Sunday,20160501
2016,2,Monday,20160201
2016,8,Saturday,20160801
2016,12,Monday,20161201
2016,6,Tuesday,20160601
2016,2,Sunday,20160201
2016,5,Wednesday,20160501
2016,1,Friday,20160101
2016,12,Tuesday,20161201
2016,10,Sunday,20161001
2016,6,Monday,20160601
2016,12,Saturday,20161201
2016,9,Wednesday,20160901
2016,1,Wednesday,20160101
2016,11,Friday,20161101
2016,10,Monday,20161001
2017,12,Tuesday,20171201
2017,12,Monday,20171201
2017,3,Wednesday,20170301
2017,12,Sunday,20171201
2017,7,Monday,20170701
2017,4,Friday,20170401
2017,9,Sunday,20170901
2017,3,Saturday,20170301
2017,5,Thursday,20170501
2017,3,Monday,20170301
2017,7,Friday,20170701
2017,5,Sunday,20170501
2017,9,Friday,20170901
2017,7,Saturday,20170701
2017,2,Wednesday,20170201
2017,12,Friday,20171201
2017,2,Friday,20170201
2017,10,Friday,20171001
2017,9,Tuesday,20170901
2017,10,Tuesday,20171001
2017,5,Wednesday,20170501
2017,2,Monday,20170201
2017,12,Saturday,20171201
2017,8,Wednesday,20170801
2017,3,Friday,20170301
2017,1,Friday,20170101
2017,4,Thursday,20170401
2017,2,Saturday,20170201
2017,8,Monday,20170801
2017,4,Monday,20170401
2018,2,Tuesday,20180201
2018,6,Thursday,20180601
2018,6,Sunday,20180601
2018,10,Sunday,20181001
2018,4,Tuesday,20180401
2018,6,Tuesday,20180601
2018,10,Saturday,20181001
2018,12,Saturday,20181201
2018,2,Wednesday,20180201
2018,10,Wednesday,20181001
2018,8,Thursday,20180801
2018,7,Monday,20180701
2018,9,Thursday,20180901
2018,8,Friday,20180801
2018,5,Saturday,20180501
2018,2,Saturday,20180201
2018,5,Wednesday,20180501
2018,8,Monday,20180801
2018,10,Monday,20181001
2018,9,Sunday,20180901
2018,12,Sunday,20181201
2018,9,Friday,20180901
2018,1,Friday,20180101
2018,9,Saturday,20180901
2018,7,Tuesday,20180701
2018,9,Wednesday,20180901
2018,8,Wednesday,20180801
2018,1,Sunday,20180101
2018,8,Tuesday,20180801
2016,3,Tuesday,20160301
2016,1,Tuesday,20160101
2016,3,Saturday,20160301
2016,3,Sunday,20160301
2016,11,Wednesday,20161101
2016,7,Thursday,20160701
2016,9,Saturday,20160901
2016,7,Sunday,20160701
2016,9,Thursday,20160901
2016,12,Sunday,20161201
2016,2,Tuesday,20160201
2016,7,Monday,20160701
2016,8,Friday,20160801
2016,5,Thursday,20160501
2016,11,Thursday,20161101
2016,3,Thursday,20160301
2016,5,Saturday,20160501
2017,10,Saturday,20171001
2017,7,Wednesday,20170701
2017,11,Wednesday,20171101
2017,9,Wednesday,20170901
2017,10,Sunday,20171001
2017,10,Monday,20171001
2017,3,Sunday,20170301
2017,7,Sunday,20170701
2017,1,Wednesday,20170101
2017,4,Saturday,20170401
2017,4,Wednesday,20170401
2017,11,Tuesday,20171101
2017,6,Tuesday,20170601
2017,12,Wednesday,20171201
2017,5,Tuesday,20170501
2017,6,Thursday,20170601
2017,11,Monday,20171101
2018,12,Thursday,20181201
2018,9,Tuesday,20180901
2018,7,Saturday,20180701
2018,1,Tuesday,20180101
2018,1,Monday,20180101
2018,11,Tuesday,20181101
2018,4,Wednesday,20180401
2018,9,Monday,20180901
2018,3,Tuesday,20180301
2018,11,Saturday,20181101
2018,1,Wednesday,20180101
2018,3,Sunday,20180301
2018,10,Friday,20181001
2018,12,Monday,20181201
2018,11,Thursday,20181101
2018,6,Monday,20180601
2018,4,Friday,20180401
2018,1,Thursday,20180101
2018,4,Sunday,20180401
2018,3,Thursday,20180301
2016,2,Wednesday,20160201
2016,12,Wednesday,20161201
2016,6,Sunday,20160601
2016,1,Sunday,20160101
2016,2,Friday,20160201
2016,10,Saturday,20161001
2016,6,Wednesday,20160601
2016,7,Wednesday,20160701
2016,4,Sunday,20160401
2016,8,Monday,20160801
2016,5,Monday,20160501
2016,2,Saturday,20160201
2016,6,Saturday,20160601
2016,1,Monday,20160101
2017,9,Monday,20170901
2017,11,Thursday,20171101
2017,6,Monday,20170601
2017,3,Thursday,20170301
2017,4,Tuesday,20170401
2017,3,Tuesday,20170301
2017,7,Tuesday,20170701
2017,4,Sunday,20170401
2017,1,Thursday,20170101
2017,8,Friday,20170801
2017,1,Saturday,20170101
2017,9,Saturday,20170901
2018,1,Saturday,20180101
2018,2,Sunday,20180201
2018,3,Monday,20180301
2018,3,Wednesday,20180301
2018,8,Sunday,20180801
2018,6,Friday,20180601
2018,8,Saturday,20180801
2018,4,Thursday,20180401
2018,4,Saturday,20180401
2018,3,Saturday,20180301
2018,2,Monday,20180201
2016,9,Tuesday,20160901
2016,4,Wednesday,20160401
2016,4,Thursday,20160401
2016,4,Tuesday,20160401
2016,8,Thursday,20160801
2016,1,Thursday,20160101
2016,7,Tuesday,20160701
2016,8,Sunday,20160801
2016,12,Friday,20161201
2017,1,Tuesday,20170101
2017,12,Thursday,20171201
2017,5,Monday,20170501
2017,6,Sunday,20170601
2017,1,Sunday,20170101
2017,5,Saturday,20170501
2017,2,Thursday,20170201
2017,6,Friday,20170601
2017,10,Wednesday,20171001
2017,8,Tuesday,20170801
2017,8,Thursday,20170801
