Victim_ID,Victim_Group
5000,General
5001,General
5002,General
5003,General
5004,General
5005,General
5006,General
5007,General
5008,General
5009,General
5010,General
5011,General
5012,General
5013,General
5014,General
5015,General
5016,General
5017,General
5018,General
5019,General
5020,General
5021,General
5022,General
5023,General
5024,General
5025,General
5026,General
5027,General
5028,General
5029,General
5030,General
5031,General
5032,General
5033,General
5034,General
5035,General
5036,General
5037,General
5038,General
5039,General
5040,General
5041,General
5042,General
5043,General
5044,General
5045,General
5046,General
5047,General
5048,General
5049,General
5050,General
5051,General
5052,General
5053,General
5054,General
5055,General
5056,General
5057,General
5058,General
5059,General
5060,General
5061,General
5062,General
5063,General
5064,General
5065,General
5066,General
5067,General
5068,General
5069,General
5070,General
5071,General
5072,General
5073,General
5074,General
5075,General
5076,General
5077,General
5078,General
5079,General
5080,General
5081,General
5082,General
5083,General
5084,General
5085,General
5086,General
5087,General
5088,General
5089,General
5090,General
5091,General
5092,General
5093,General
5094,General
5095,General
5096,General
5097,General
5098,General
5099,General
5100,General
5101,General
5102,General
5103,General
5104,General
5105,General
5106,General
5107,General
5108,General
5109,General
5110,General
5111,General
5112,General
5113,General
5114,General
5115,General
5116,General
5117,General
5118,General
5119,General
5120,General
5121,General
5122,General
5123,General
5124,General
5125,General
5126,General
5127,General
5128,General
5129,General
5130,General
5131,General
5132,General
5133,General
5134,General
5135,General
5136,General
5137,General
5138,General
5139,General
5140,General
5141,General
5142,General
5143,General
5144,General
5145,General
5146,General
5147,General
5148,General
5149,General
5150,General
5151,General
5152,General
5153,General
5154,General
5155,General
5156,General
5157,General
5158,General
5159,General
5160,General
5161,General
5162,General
5163,General
5164,General
5165,General
5166,General
5167,General
5168,General
5169,General
5170,General
5171,General
5172,General
5173,General
5174,General
5175,General
5176,General
5177,General
5178,General
5179,General
5180,General
5181,General
5182,General
5183,General
5184,General
5185,General
5186,General
5187,General
5188,General
5189,General
5190,General
5191,General
5192,General
5193,General
5194,General
5195,General
5196,General
5197,General
5198,General
5199,General
5200,General
5201,General
5202,General
5203,General
5204,General
5205,General
5206,General
5207,General
5208,General
5209,General
5210,General
5211,General
5212,General
5213,General
5214,General
5215,General
5216,General
5217,General
5218,General
5219,General
5220,General
5221,General
5222,General
5223,General
5224,General
5225,General
5226,General
5227,General
5228,General
5229,General
5230,General
5231,General
5232,General
5233,General
5234,General
5235,General
5236,General
5237,General
5238,General
5239,General
5240,General
5241,General
5242,General
5243,General
5244,General
5245,General
5246,General
5247,General
5248,General
5249,General
5250,General
5251,General
5252,General
5253,General
5254,General
5255,General
5256,General
5257,General
5258,General
5259,General
5260,General
5261,General
5262,General
5263,General
5264,General
5265,General
5266,General
5267,General
5268,General
5269,General
5270,General
5271,General
5272,General
5273,General
5274,General
5275,General
5276,General
5277,General
5278,General
5279,General
5280,General
5281,General
5282,General
5283,General
5284,General
5285,General
5286,General
5287,General
5288,General
5289,General
5290,General
5291,General
5292,General
5293,General
5294,General
5295,General
5296,General
5297,General
5298,General
5299,General
5300,General
5301,General
5302,General
5303,General
5304,General
5305,General
5306,General
5307,General
5308,General
5309,General
5310,General
5311,General
5312,General
5313,General
5314,General
5315,General
5316,General
5317,General
5318,General
5319,General
5320,General
5321,General
5322,General
5323,General
